SI No,Question,Option1,Option2,Option3,Option4,Answer,,
1,Which language is used for AI?,Python,Java,C,HTML,Python,,
2,What does CPU stand for?,Central Processing Unit,Control Processing Unit,Computer Primary Unit,Central Processor Utility,Central Processing Unit,,
3,HTML stands for?,Hyperlinks Text Markup Language,Hyper Text Markup Language,High Text Machine Language,Hyperlinks and Text Management Language,Hyper Text Markup Language,,
4,What does CSS stand for?,Computer Style Sheets,Cascading Style Sheets,Colorful Style Sheets,Creative Sheet Syntax,Cascading Style Sheets,,
5,Python files have which extension?,.pyt,.pt,.py,.pn,.py,,
6,RAM stands for?,Read Access Memory,Random Access Memory,Random Allocated Memory,Read Allocate Memory,Random Access Memory,,
7,Which of these is not an OS?,Linux,Windows,Oracle,macOS,Oracle,,
8,Which number system uses base 2?,Binary,Decimal,Octal,Hexadecimal,Binary,,
9,What keyword is used to define function in Python?,fun,def,function,define,def,,
10,Which protocol uses port 80?,FTP,HTTP,SSH,SMTP,HTTP,,
11,What is the output of 2 ** 3 in Python?,5,6,8,9,8,,
12,In which year was Python created?,1991,2001,1989,1995,1991,,
13,What is the full form of URL?,Uniform Resource Locator,Unified Reference Link,Universal Resource Link,Uniform Retrieval Locator,Uniform Resource Locator,,
14,Which company developed Java?,Sun Microsystems,Microsoft,Google,IBM,Sun Microsystems,,
15,What is 10 % 3 in Python?,3,1,0,10,1,,
16,Which one is immutable in Python?,List,Tuple,Dictionary,Set,Tuple,,
17,SQL stands for?,Structured Query Language,Sequential Query Language,Standard Question Language,System Query Link,Structured Query Language,,
18,What does LAN stand for?,Local Access Network,Local Area Network,Limited Access Network,Logical Area Network,Local Area Network,,
19,Which tag is used to insert image in HTML?,,,,,,,
20,Who is the founder of Microsoft?,Steve Jobs,Bill Gates,Elon Musk,Mark Zuckerberg,Bill Gates,,
